Zeit;Wert 1-avg[W]
2023-01-07 14:59:10.842111; 31.645908
2023-01-07 14:59:11.860542; 31.425996
2023-01-07 14:59:12.867829; 31.688272
2023-01-07 14:59:13.876148; 31.688272
2023-01-07 14:59:14.895327; 32.21568
2023-01-07 14:59:15.923406; 31.994102
2023-01-07 14:59:16.929972; 31.908898
2023-01-07 14:59:17.944244; 31.994102
2023-01-07 14:59:18.946133; 31.688272
2023-01-07 14:59:19.951440; 31.688272
2023-01-07 14:59:20.972328; 31.603544
2023-01-07 14:59:21.984756; 31.56118
2023-01-07 14:59:22.994310; 33.59489
2023-01-07 14:59:24.004821; 31.866296
2023-01-07 14:59:25.021195; 31.603544
2023-01-07 14:59:26.032838; 31.38387
2023-01-07 14:59:27.051938; 31.341744
2023-01-07 14:59:28.066776; 31.252005
2023-01-07 14:59:29.079903; 31.210056
2023-01-07 14:59:30.095077; 31.126158
2023-01-07 14:59:31.097857; 31.823694
2023-01-07 14:59:32.099939; 31.866296
2023-01-07 14:59:33.119849; 31.688272
2023-01-07 14:59:34.139345; 31.38387
2023-01-07 14:59:35.150445; 31.9515
2023-01-07 14:59:36.182806; 31.341744
2023-01-07 14:59:37.190314; 31.257492
2023-01-07 14:59:38.206721; 33.057486
2023-01-07 14:59:39.206963; 31.688272
2023-01-07 14:59:40.228065; 31.603544
2023-01-07 14:59:41.249335; 31.293954
2023-01-07 14:59:42.263348; 31.293954
2023-01-07 14:59:43.265501; 31.252005
2023-01-07 14:59:44.284109; 31.168107
2023-01-07 14:59:45.297956; 30.992016
2023-01-07 14:59:46.309842; 31.774827
2023-01-07 14:59:47.329164; 31.732404
2023-01-07 14:59:48.335064; 31.512942
2023-01-07 14:59:49.340257; 31.252005
2023-01-07 14:59:50.355315; 31.252005
2023-01-07 14:59:51.363591; 31.252005
2023-01-07 14:59:52.370780; 31.210056
2023-01-07 14:59:53.378917; 30.992016
2023-01-07 14:59:54.399719; 31.6395
2023-01-07 14:59:55.404818; 31.597314
2023-01-07 14:59:56.424610; 31.597314
2023-01-07 14:59:57.448574; 31.252005
2023-01-07 14:59:58.453419; 31.252005
2023-01-07 14:59:59.454642; 31.293954
2023-01-07 15:00:00.458796; 31.210056
2023-01-07 15:00:01.475392; 31.210056
2023-01-07 15:00:02.492242; 31.774827
2023-01-07 15:00:03.495384; 32.08032
2023-01-07 15:00:04.495731; 31.597314
2023-01-07 15:00:05.508517; 31.335903
2023-01-07 15:00:06.536852; 31.293954
2023-01-07 15:00:07.542548; 31.512942
2023-01-07 15:00:08.559104; 31.902096
2023-01-07 15:00:09.573927; 31.210056
2023-01-07 15:00:10.575782; 31.774827
2023-01-07 15:00:11.593121; 31.597314
2023-01-07 15:00:12.597906; 31.335903
2023-01-07 15:00:13.603060; 31.859673
2023-01-07 15:00:14.635330; 31.252005
2023-01-07 15:00:15.652773; 31.210056
2023-01-07 15:00:16.654881; 31.033728
2023-01-07 15:00:17.670955; 31.122784
2023-01-07 15:00:18.671220; 32.08032
2023-01-07 15:00:19.673990; 31.597314
2023-01-07 15:00:20.698749; 31.335903
2023-01-07 15:00:21.702516; 31.293954
2023-01-07 15:00:22.709356; 52.518015
2023-01-07 15:00:23.727564; 51.5865
2023-01-07 15:00:24.731993; 49.470669
2023-01-07 15:00:25.750605; 46.06095
2023-01-07 15:00:26.753676; 48.57552
2023-01-07 15:00:27.756354; 48.170724
2023-01-07 15:00:28.774725; 51.105258
2023-01-07 15:00:29.783319; 49.9359
2023-01-07 15:00:30.784136; 49.267086
2023-01-07 15:00:31.804582; 46.06095
